Skola,Skol_enhetskod,Skolkommun,Typ_av_huvudman,merit_snitt,Andel_svenskar_procent,Foraldrar_utbildning_procent,Elever_per_larare,Andel_med_lararlegitimation_och_,Ar,Huvudman
Mimerskolan,10023937,Sundsvall,Enskild,257.6,90,80.40000000000001,11.4,72.5,2018,Föreningen Mimers Brunn
Söderbymalmsskolan,10035236,Haninge,Kommunal,212.7,48.5,30.8,9.4,71.3,2016,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,206.8,39.9,33.8,10.3,77.2,2017,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,188.4,41.2,32.8,10.2,70.59999999999999,2018,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,210.6,50.6,31.5,11.7,74.8,2019,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,195.2,42.3,36.6,10.9,68.8,2020,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,204.6,44.2,46.9,11.1,69.8,2021,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,205.3,36.1,47.5,11.7,65.8,2022,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,191.8,41.9,41.4,11.6,66.40000000000001,2023,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,197.1,46,43.9,12.4,68.59999999999999,2024,Haninge
Söderbymalmsskolan,10035236,Haninge,Kommunal,203.2,44,41.3,11.3,60.4,2025,Haninge
Skapaskolan,10063280,Huddinge,Enskild,222.1,82.8,58.6,15,65.40000000000001,2021,The Learning Lab i Stockholm AB
Skapaskolan,10063280,Huddinge,Enskild,255.6,86.8,77.40000000000001,15.7,66.5,2022,The Learning Lab i Stockholm AB
Lärande Grundskola Skapa,10063280,Huddinge,Enskild,243.2,77.09999999999999,72.90000000000001,14.8,66.8,2023,The Learning Lab i Stockholm AB
Lärande Grundskola Skapa,10063280,Huddinge,Enskild,246.9,65.09999999999999,72.09999999999999,15.7,67,2024,The Learning Lab i Stockholm AB
Lärande Grundskola Skapa,10063280,Huddinge,Enskild,278.8,66.7,68.5,16.1,77.3,2025,The Learning Lab i Stockholm AB
Husumskolan F-9,10120692,Örnsköldsvik,Kommunal,236.5,95.09999999999999,36.6,11.1,73.40000000000001,2016,Örnsköldsvik
Malmen Montessori,10132939,Borås,Enskild,245.4,92.3,61.5,11.4,67.09999999999999,2016,Malmen Montessori
Malmen Montessori,10132939,Borås,Enskild,239.8,83.3,63.3,12.7,63.8,2018,Malmen Montessori
Malmen Montessori,10132939,Borås,Enskild,258.2,77.09999999999999,67.59999999999999,14.5,74.59999999999999,2019,Malmen Montessori
Malmen Montessori,10132939,Borås,Enskild,268,78.59999999999999,69,14.2,68.40000000000001,2021,Malmen Montessori
Malmen Montessori,10132939,Borås,Enskild,244.6,82.2,72.7,13.8,68.7,2022,Malmen Montessori
Malmen Montessori,10132939,Borås,Enskild,227.1,79.2,66,14,62.7,2023,Malmen Montessori
Malmen Montessori,10132939,Borås,Enskild,235.8,70.5,56.7,13.1,65.09999999999999,2024,Malmen Montessori
Malmen Montessori,10132939,Borås,Enskild,232.9,91.2,78.90000000000001,11.9,62,2025,Malmen Montessori
Ängarydsskolan,10155751,Tranås,Kommunal,232.5,85.90000000000001,42.2,9.4,76,2016,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,198.5,80.2,38.5,9.699999999999999,77.5,2017,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,235.5,84.5,38,10.1,80.09999999999999,2018,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,224.8,83.7,55.6,9,74.90000000000001,2019,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,225.1,81.09999999999999,54.6,9.5,66.7,2020,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,201.1,70.8,44.7,10,68.2,2021,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,204.5,73.8,58.7,11.8,72.5,2022,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,223.5,70.2,48.8,10.6,70.8,2023,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,224.8,70.5,58.3,11.2,74.09999999999999,2024,Tranås
Ängarydsskolan,10155751,Tranås,Kommunal,203.4,74.5,47.3,10.3,71.3,2025,Tranås
Vibackeskolan,10170655,Sundsvall,Kommunal,202.9,82.90000000000001,56.8,13.2,55.9,2018,Sundsvall
Vibackeskolan,10170655,Sundsvall,Kommunal,210.7,92.5,66.7,13.1,56.3,2019,Sundsvall
Vibackeskolan,10170655,Sundsvall,Kommunal,210.4,85.09999999999999,57.5,11.2,59.7,2020,Sundsvall
Vibackeskolan,10170655,Sundsvall,Kommunal,211.9,89.5,62,11.2,68.90000000000001,2021,Sundsvall
Vibackeskolan,10170655,Sundsvall,Kommunal,199.8,88.7,59.3,11.5,70.90000000000001,2022,Sundsvall
Vibackeskolan,10170655,Sundsvall,Kommunal,203.2,84,61.1,11.6,74.09999999999999,2023,Sundsvall
Vibackeskolan,10170655,Sundsvall,Kommunal,196.5,84.8,56.2,11.6,69.90000000000001,2024,Sundsvall
Vibackeskolan,10170655,Sundsvall,Kommunal,209,85.5,66.40000000000001,11.9,74.3,2025,Sundsvall
Parkdalaskolan 7-9,10175276,Ronneby,Kommunal,202.7,69,59.9,10.2,61,2023,Ronneby
Parkdalaskolan 7-9,10175276,Ronneby,Kommunal,194.1,61.7,56.5,10.1,59.7,2024,Ronneby
Parkdalaskolan 7-9,10175276,Ronneby,Kommunal,195.7,55.3,58.3,9.300000000000001,57.3,2025,Ronneby
Hortlax skola,10185533,Piteå,Kommunal,240.9,95.5,56.9,12.8,89.3,2016,Piteå
Hortlax skola,10185533,Piteå,Kommunal,231.2,93.3,58.8,11.9,88.2,2017,Piteå
Hortlax skola,10185533,Piteå,Kommunal,231.9,89.3,55.7,12,89.2,2018,Piteå
Hortlax skola,10185533,Piteå,Kommunal,236.6,93.59999999999999,56.2,11.7,88.3,2019,Piteå
Hortlax skola,10185533,Piteå,Kommunal,234.5,92.59999999999999,64.40000000000001,11.8,89.5,2020,Piteå
Hortlax skola,10185533,Piteå,Kommunal,227.4,91.59999999999999,66.3,11.7,87.7,2021,Piteå
Hortlax skola,10185533,Piteå,Kommunal,226.1,91.09999999999999,77.8,11.9,88.7,2022,Piteå
Hortlax skola,10185533,Piteå,Kommunal,222.2,92.59999999999999,64.8,11.8,88.7,2023,Piteå
Hortlax skola,10185533,Piteå,Kommunal,235.7,96.3,75,11.6,86.7,2024,Piteå
Hortlax skola,10185533,Piteå,Kommunal,232.4,92.3,68.59999999999999,10.5,84.40000000000001,2025,Piteå
Svartedalsskolan 4-9,10245367,Göteborg,Kommunal,183.8,21.5,27.8,8.699999999999999,57.9,2022,Göteborg
Svartedalsskolan 4-9,10245367,Göteborg,Kommunal,188.4,21.3,25.6,7.7,57.1,2023,Göteborg
Svartedalsskolan 4-9,10245367,Göteborg,Kommunal,188.3,20.3,32.4,8.1,60,2024,Göteborg
Svartedalsskolan 4-9,10245367,Göteborg,Kommunal,196.7,29.3,40.7,9.699999999999999,62.2,2025,Göteborg
Kunskapsskolan Borås,10257640,Borås,Enskild,260.8,84.8,66.7,17.4,78.09999999999999,2016,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,262.1,85.59999999999999,68.09999999999999,17.6,77.90000000000001,2017,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,254.7,90.8,70,16.2,63,2018,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,245.5,84.3,71.40000000000001,18.1,67,2019,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,240.2,88.5,72.8,15.7,60,2020,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,240.1,78.8,71.90000000000001,16.7,68.90000000000001,2021,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,246.4,79.40000000000001,70.09999999999999,16.5,67.7,2022,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,228.3,78,60,16.4,64.90000000000001,2023,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,244.8,71.3,77.8,16.1,71.09999999999999,2024,Kunskapsskolan i Sverige Aktiebolag
Kunskapsskolan Borås,10257640,Borås,Enskild,225.9,75.59999999999999,70.09999999999999,15.3,75.59999999999999,2025,Kunskapsskolan i Sverige Aktiebolag
Profilskolan,10360193,Stockholm,Enskild,203.9,80.8,46.2,12.5,27.9,2016,Profilskolan AB
Profilskolan,10360193,Stockholm,Enskild,253.8,80,40,16.9,58.5,2021,Profilskolan AB
Profilskolan,10360193,Stockholm,Enskild,230.5,96.40000000000001,64.3,17.7,49.6,2024,Profilskolan AB
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,214,89.2,60.8,14.9,76,2016,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,226,90.40000000000001,51.8,11.9,54.2,2017,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,240.9,94.8,63.5,13.1,55.3,2018,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,240.5,84.09999999999999,63.5,12.1,54.9,2019,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,227.3,90.09999999999999,66.5,13.6,59.9,2020,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,238.4,89.3,60.9,13.1,66.2,2021,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,242.6,85.90000000000001,57.8,12.4,64.09999999999999,2022,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,231.8,86.3,65.3,11.1,70.3,2023,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,226.2,88.90000000000001,69.5,12.1,68.2,2024,Uddevalla
Norgårdenskolan 7-9,10405686,Uddevalla,Kommunal,233.8,91.09999999999999,63.4,12.5,64.59999999999999,2025,Uddevalla
Varagårdsskolan,10419361,Bjuv,Kommunal,213.3,48.2,46.2,10.3,52.3,2021,Bjuv
Varagårdsskolan,10419361,Bjuv,Kommunal,205.4,56,38.1,10,42,2022,Bjuv
Varagårdsskolan,10419361,Bjuv,Kommunal,204.3,54.9,36.6,9.5,50.1,2023,Bjuv
Varagårdsskolan,10419361,Bjuv,Kommunal,194,51.2,34.1,11,62.8,2024,Bjuv
Varagårdsskolan,10419361,Bjuv,Kommunal,188.3,47.7,34.1,11.3,68.40000000000001,2025,Bjuv
Norsjöskolan F-9,10421130,Norsjö,Kommunal,228.5,80,34.9,11.1,54.8,2016,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,194.2,76.09999999999999,28.6,11.4,53.9,2017,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,222.7,74,31.1,10.2,49,2018,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,226.1,82.90000000000001,31.3,9.699999999999999,58.6,2019,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,241.1,90.90000000000001,46.5,10,69,2020,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,229.3,90.5,45.2,9.699999999999999,66.2,2021,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,232.1,86.7,57.8,10.5,71.59999999999999,2022,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,217.7,86,42,10.4,70.5,2023,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,228.4,85.40000000000001,46.8,10.3,65.59999999999999,2024,Norsjö
Norsjöskolan F-9,10421130,Norsjö,Kommunal,216.9,91.7,56.3,10.4,68.5,2025,Norsjö
Lyckeskolan,10428442,Mark,Kommunal,208.1,85.2,36.4,12.4,65.3,2016,Mark
Lyckeskolan,10428442,Mark,Kommunal,217.1,81.5,47.3,12,63.4,2017,Mark
Lyckeskolan,10428442,Mark,Kommunal,225.7,85.3,51.5,11.1,73.2,2018,Mark
Lyckeskolan,10428442,Mark,Kommunal,224.2,84.59999999999999,47.4,11,74.7,2019,Mark
Lyckeskolan,10428442,Mark,Kommunal,200.6,82.2,47.2,11.3,80.59999999999999,2020,Mark
Lyckeskolan,10428442,Mark,Kommunal,216.5,85.3,43.2,9.300000000000001,75.90000000000001,2021,Mark
Lyckeskolan,10428442,Mark,Kommunal,226.4,85.59999999999999,55.6,10.8,76.3,2022,Mark
Lyckeskolan,10428442,Mark,Kommunal,223.1,84.8,57.7,11.2,75.59999999999999,2023,Mark
Lyckeskolan,10428442,Mark,Kommunal,214.7,82,53,11,76.7,2024,Mark
Lyckeskolan,10428442,Mark,Kommunal,210.3,83.8,52,9.800000000000001,70.3,2025,Mark
Lammhults skola 4-9,10428911,Växjö,Kommunal,209.6,54.9,45.7,9.800000000000001,54.6,2020,Växjö
Lammhults skola 4-9,10428911,Växjö,Kommunal,221.6,64.3,42.5,10.2,69.59999999999999,2021,Växjö
Lammhults skola 4-9,10428911,Växjö,Kommunal,203.2,55.6,29.4,9.199999999999999,76.7,2022,Växjö
Lammhults skola 4-9,10428911,Växjö,Kommunal,232.6,89.3,50,9.300000000000001,76.90000000000001,2023,Växjö
JENSEN grundskola Norrköping,10435966,Norrköping,Enskild,257,50,53.3,17.5,37.6,2023,Jensen Education College AB
JENSEN grundskola Norrköping,10435966,Norrköping,Enskild,252.1,59.3,54.1,18.8,80.40000000000001,2024,Jensen Education College AB
JENSEN grundskola Norrköping,10435966,Norrköping,Enskild,262.3,60.7,72.09999999999999,20.1,60.8,2025,Jensen Education College AB
"Entréskolan, Eskilstuna",10443922,Eskilstuna,Enskild,176.8,71.40000000000001,45.7,15,48.8,2016,AmiSgo AB
"Entréskolan, Eskilstuna",10443922,Eskilstuna,Enskild,207.8,87.2,37,10.8,44.1,2017,AmiSgo AB
"Entréskolan, Eskilstuna",10443922,Eskilstuna,Enskild,200.9,85.40000000000001,48.8,12.9,32,2018,AmiSgo AB
"Entréskolan, Eskilstuna",10443922,Eskilstuna,Enskild,150.4,93.3,36.7,14.5,56.4,2019,AmiSgo AB
"Entréskolan, Eskilstuna",10443922,Eskilstuna,Enskild,218.5,83.90000000000001,43.5,14.6,32.7,2020,AmiSgo AB
Entréskolan Eskilstuna,10443922,Eskilstuna,Enskild,191.5,71.40000000000001,56.1,12.1,34.5,2021,AmiSgo AB
Entréskolan Eskilstuna,10443922,Eskilstuna,Enskild,214.8,77.40000000000001,47.2,12.7,31.4,2022,AmiSgo AB
Entréskolan Eskilstuna,10443922,Eskilstuna,Enskild,201.4,77.40000000000001,45.3,11.7,39.5,2023,AmiSgo AB
Entréskolan Eskilstuna,10443922,Eskilstuna,Enskild,229.3,80,50,14.1,53.5,2024,AmiSgo AB
Entréskolan Eskilstuna,10443922,Eskilstuna,Enskild,219,87.2,58.7,12.2,46.2,2025,AmiSgo AB
Persboskolan,10453232,Västerås,Kommunal,161.9,76.5,35.3,12,64.8,2016,Västerås
Persboskolan,10453232,Västerås,Kommunal,215.1,66,36.5,12.1,54.2,2017,Västerås
Persboskolan,10453232,Västerås,Kommunal,190.7,81,31.5,13.1,54.2,2018,Västerås
Persboskolan,10453232,Västerås,Kommunal,214.5,79.59999999999999,50,12.2,65.7,2019,Västerås
Persboskolan,10453232,Västerås,Kommunal,196.5,73,39.3,12.7,35.6,2020,Västerås
Persboskolan,10453232,Västerås,Kommunal,210.1,60.5,46.3,11.8,40.1,2021,Västerås
Persboskolan,10453232,Västerås,Kommunal,207.8,74.40000000000001,42.9,11.3,47.2,2022,Västerås
Persboskolan,10453232,Västerås,Kommunal,211.9,75,48.4,11.8,53.7,2023,Västerås
Persboskolan,10453232,Västerås,Kommunal,201.7,68.8,46.9,12.9,55.6,2024,Västerås
Persboskolan,10453232,Västerås,Kommunal,202.6,82.40000000000001,50,13.4,45.5,2025,Västerås
Östergårdsskolan 7-9 B,10483888,Halmstad,Kommunal,217,34,50,10.3,65.7,2022,Halmstad
Östergårdsskolan 7-9 B,10483888,Halmstad,Kommunal,209.3,42.9,52.4,8.300000000000001,55.7,2023,Halmstad
Lerbergsskolan,10592650,Höganäs,Kommunal,247.6,81.3,72.90000000000001,14.9,88.40000000000001,2024,Höganäs
Lerbergsskolan,10592650,Höganäs,Kommunal,247,89.40000000000001,81.8,14.5,82.09999999999999,2025,Höganäs
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,219.4,86.8,48.1,12.5,87.09999999999999,2016,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,225.3,80.2,50,6.9,69.5,2017,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,214.1,84.3,50,10.7,74.40000000000001,2018,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,201.3,78.7,50,9.9,68.2,2019,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,206.4,78,54.1,11.1,64.2,2020,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,213.3,73.2,59.4,11.9,69.8,2021,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,195.4,75.59999999999999,55.2,10.8,71.8,2022,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,224,79.5,57.1,10.3,70.90000000000001,2023,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,210.4,82.09999999999999,63.6,10.5,82.09999999999999,2024,Mjölby
Lagmansskolan Beta MH,10609045,Mjölby,Kommunal,210,79.3,59.5,10,74.59999999999999,2025,Mjölby
Manhemsskolan,10617819,Kalix,Kommunal,196.2,92.09999999999999,47.7,10.9,80,2016,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,213.7,90.40000000000001,47.3,12.3,70.2,2017,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,217.4,89.90000000000001,52.2,11.3,74.59999999999999,2018,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,218.3,91.3,60,10.7,73.7,2019,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,223.8,91.3,54.4,10.4,71.2,2020,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,227.4,89.09999999999999,43.3,9.800000000000001,72.40000000000001,2021,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,224.5,90.90000000000001,67.5,10.4,72.5,2022,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,222.2,90.2,61.5,9.6,67.59999999999999,2023,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,218.4,93,58.7,10.5,63,2024,Kalix
Manhemsskolan,10617819,Kalix,Kommunal,204.4,88.5,62.5,9.9,69.3,2025,Kalix
Skogsbacksskolan,10657244,Botkyrka,Kommunal,213.4,20.8,51,12.6,77.40000000000001,2025,Botkyrka
"Galären, grundskola",10662754,Karlskrona,Enskild,238,90,50,12.7,41.4,2016,AcadeMedia fria grundskolor AB
"Galären, grundskola",10662754,Karlskrona,Enskild,229.9,88.90000000000001,71.40000000000001,13,44.7,2017,AcadeMedia fria grundskolor AB
Galären Rosenholm,10662754,Karlskrona,Enskild,216.9,77.8,56.8,11.6,61.9,2018,AcadeMedia fria grundskolor AB
Galären Rosenholm,10662754,Karlskrona,Enskild,233.5,71.40000000000001,68.3,14.8,61.5,2019,AcadeMedia fria grundskolor AB
Galären Rosenholm,10662754,Karlskrona,Enskild,223.5,89.59999999999999,76.59999999999999,13.4,57.8,2020,AcadeMedia fria grundskolor AB
Galären Rosenholm,10662754,Karlskrona,Enskild,228.9,85.7,78.90000000000001,13.8,55.6,2021,AcadeMedia fria grundskolor AB
Innovitaskolan Karlskrona,10662754,Karlskrona,Enskild,220.2,85.59999999999999,70.3,13.7,59.1,2022,AcadeMedia fria grundskolor AB
Innovitaskolan Karlskrona,10662754,Karlskrona,Enskild,217.1,87.3,75.8,13.3,65.2,2023,AcadeMedia fria grundskolor AB
Innovitaskolan Karlskrona,10662754,Karlskrona,Enskild,220.6,83.09999999999999,76.59999999999999,12.6,66.40000000000001,2024,AcadeMedia fria grundskolor AB
Innovitaskolan Karlskrona,10662754,Karlskrona,Enskild,225.5,88.2,85.3,13.2,76.3,2025,AcadeMedia fria grundskolor AB
Snyggatorpsskolan 1,10822811,Klippan,Kommunal,190.3,69.5,32.7,11.9,77.7,2018,Klippan
Snyggatorpsskolan 1,10822811,Klippan,Kommunal,202.8,74.59999999999999,36.5,11,72.90000000000001,2019,Klippan
Snyggatorpsskolan 1,10822811,Klippan,Kommunal,197.1,69.40000000000001,41.5,10.8,76.40000000000001,2020,Klippan
Snyggatorpsskolan 1,10822811,Klippan,Kommunal,212.7,61.9,45,12.3,85.2,2021,Klippan
Snyggatorpsskolan,10822811,Klippan,Kommunal,193.2,69.90000000000001,48.2,10.7,82,2022,Klippan
Snyggatorpsskolan,10822811,Klippan,Kommunal,217.7,66.7,42.1,11.5,76,2023,Klippan
Snyggatorpsskolan,10822811,Klippan,Kommunal,234,65,51.5,11.8,77.8,2024,Klippan
Snyggatorpsskolan,10822811,Klippan,Kommunal,226.3,66.7,45,11.7,68.40000000000001,2025,Klippan
Lekstorpsskolan,10867785,Lerum,Kommunal,166.1,84,44,15.2,66.5,2018,Lerum
Lekstorpsskolan,10867785,Lerum,Kommunal,227.8,97,45.5,13.6,64.5,2019,Lerum
Frillesåsskolan 4-9,10927868,Kungsbacka,Kommunal,250.5,97.90000000000001,51.1,13.6,82.40000000000001,2016,Kungsbacka
Frillesåsskolan 4-9,10927868,Kungsbacka,Kommunal,232.7,90,58.3,13.2,78.2,2017,Kungsbacka
Frillesåsskolan 4-9,10927868,Kungsbacka,Kommunal,240.8,96.2,51.9,12.6,81.40000000000001,2018,Kungsbacka
Frillesåsskolan 4-9,10927868,Kungsbacka,Kommunal,217.8,95.09999999999999,48.8,13.1,82,2019,Kungsbacka
Frillesåsskolan 4-9,10927868,Kungsbacka,Kommunal,251.7,87.8,57.1,13.7,79.59999999999999,2020,Kungsbacka
Frillesåsskolan 4-9,10927868,Kungsbacka,Kommunal,233.5,100,70.2,14.5,79.59999999999999,2021,Kungsbacka
Storsjöskolan 2,10954341,Umeå,Kommunal,233.8,94.8,59.6,9.699999999999999,95.7,2016,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,226.8,85.09999999999999,71.09999999999999,10.6,86.09999999999999,2017,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,207.8,95.7,63.8,12.2,98.2,2018,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,210.9,93.40000000000001,70.7,11.9,86.3,2019,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,226.6,91.2,78.8,12.4,95.5,2020,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,211.1,94.5,74,12,93.09999999999999,2021,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,229.4,92.09999999999999,77,13,89,2022,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,217.9,87.3,76.5,12.8,95.90000000000001,2023,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,226.5,85.3,85.09999999999999,13.4,98.40000000000001,2024,Umeå
Storsjöskolan 2,10954341,Umeå,Kommunal,242.1,95.09999999999999,86.40000000000001,12.4,79.7,2025,Umeå
Solklintsskolan,10979668,Gotland,Kommunal,207.1,87.5,32.5,10.1,44.7,2017,Gotland
Solklintsskolan,10979668,Gotland,Kommunal,211.1,82.09999999999999,48.6,10.5,48,2018,Gotland
Solklintsskolan,10979668,Gotland,Kommunal,249.4,95.3,46.5,9.300000000000001,44.9,2020,Gotland
Solklintsskolan,10979668,Gotland,Kommunal,222.9,88.2,44.1,8.1,37.9,2021,Gotland
Solklintsskolan,10979668,Gotland,Kommunal,180.6,77.8,50,8.300000000000001,43.6,2023,Gotland
Solklintsskolan,10979668,Gotland,Kommunal,204.7,92.3,50,7.2,34.7,2024,Gotland
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,254.7,86.09999999999999,76.09999999999999,14.3,79.7,2016,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,251,90.3,72.2,14.4,77.3,2017,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,252.4,87.7,74,15.2,84.59999999999999,2018,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,243.4,81.3,65.3,15.9,76.5,2019,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,236.6,84,68.90000000000001,14.7,75.90000000000001,2020,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,263.2,85.3,79.5,15.8,77.8,2021,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,237.2,85.09999999999999,78.09999999999999,17,74.59999999999999,2022,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,228.9,87.8,84.90000000000001,16.9,76.09999999999999,2023,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,228.5,90.5,86.5,17.4,74.2,2024,Fridaskolorna AB
"Fridaskolan, Vänersborg",10982633,Vänersborg,Enskild,222.5,89.2,81.90000000000001,13.8,69.09999999999999,2025,Fridaskolorna AB
Pops Academy,11018018,Stockholm,Enskild,299.8,92.7,81.5,21,73.8,2019,Pops Academy AB
Pops Academy,11018018,Stockholm,Enskild,289.8,92.7,75.90000000000001,18.2,79.09999999999999,2020,Pops Academy AB
Pops Academy Östermalm,11018018,Stockholm,Enskild,300.5,92,80,17.6,65.40000000000001,2021,Pops Academy AB
Pops Academy Östermalm,11018018,Stockholm,Enskild,266.3,96.59999999999999,81,17.1,58.8,2023,Pops Academy AB
Pops Academy Östermalm,11018018,Stockholm,Enskild,270.5,85.5,79.2,15.2,78.5,2024,Pops Academy AB
Bohusskolan,11043800,Ale,Kommunal,220.2,67.7,47.7,12.3,80,2016,Ale
Bohusskolan,11043800,Ale,Kommunal,201.7,56.5,45.2,11.7,78.09999999999999,2017,Ale
Bohusskolan,11043800,Ale,Kommunal,232.8,65.3,45.8,12.8,75.7,2018,Ale
Bohusskolan,11043800,Ale,Kommunal,210.8,68.7,53.7,13,68.2,2019,Ale
Bohusskolan,11043800,Ale,Kommunal,232.2,60.8,47.3,13.3,65.2,2020,Ale
Bohusskolan,11043800,Ale,Kommunal,228.7,67.09999999999999,50.6,14,70.3,2021,Ale
Bohusskolan,11043800,Ale,Kommunal,227.2,63.3,60.8,12.7,67.09999999999999,2022,Ale
Bohusskolan,11043800,Ale,Kommunal,221.9,57.6,56.5,14,76.5,2023,Ale
Bohusskolan,11043800,Ale,Kommunal,232.4,63.3,58.2,13,71.09999999999999,2024,Ale
Bohusskolan,11043800,Ale,Kommunal,221.6,55.7,67,12.9,75.7,2025,Ale
Gudmundråskolan,11159060,Kramfors,Kommunal,189.2,83.3,42.1,11.9,81.2,2016,Kramfors
Gudmundråskolan,11159060,Kramfors,Kommunal,204.8,77.2,46.8,12.4,73.59999999999999,2017,Kramfors
Gudmundråskolan,11159060,Kramfors,Kommunal,209.4,83.09999999999999,40.9,12,65.7,2018,Kramfors
Gudmundråskolan,11159060,Kramfors,Kommunal,198,78.3,37.4,12.5,52.5,2019,Kramfors
Gudmundråskolan,11159060,Kramfors,Kommunal,199.5,69.7,39.6,12.9,57.6,2020,Kramfors
Gudmundråskolan 1,11159060,Kramfors,Kommunal,186.5,71.40000000000001,38.1,13.4,67.8,2021,Kramfors
Gudmundråskolan,11159060,Kramfors,Kommunal,202.9,78.3,43,12.6,59.8,2023,Kramfors
